City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
221,West Wendover,40.7391,-114.0733,few clouds,30.56,68,15,10.04,US
222,Borovoy,55.4333,86.0833,light snow,-2.92,84,75,6.71,RU
223,Mainpuri,27.2333,79.0167,clear sky,66.51,48,0,5.26,IN
224,Coquimbo,-29.9533,-71.3436,few clouds,65.55,82,11,4.41,CL
225,Esna,25.2934,32.554,broken clouds,54.46,36,53,4.85,EG
226,Nizwa,22.9333,57.5333,clear sky,64.27,59,0,0.6,OM
227,Misratah,32.3754,15.0925,scattered clouds,54.5,65,27,20.98,LY
228,East London,-33.0153,27.9116,clear sky,65.97,74,1,13.73,ZA
229,Monrovia,6.3005,-10.7969,moderate rain,76.77,85,53,3.2,LR
230,Broken Hill,-31.95,141.4333,clear sky,81.39,32,0,12.75,AU
231,Alofi,-19.0595,-169.9187,light rain,80.92,68,9,3.67,NU
232,Mora,11.0461,14.1401,clear sky,71.28,19,2,6.08,CM
233,Mount Isa,-20.7333,139.5,scattered clouds,94.77,28,40,10.36,AU
234,Kuala Terengganu,5.3302,103.1408,scattered clouds,83.41,72,26,8.12,MY
235,Beringovskiy,63.05,179.3167,overcast clouds,-11.87,96,98,14.5,RU
236,Barao De Melgaco,-16.1944,-55.9675,overcast clouds,79.32,95,87,3.38,BR
237,Amahai,-3.3333,128.9167,scattered clouds,83.93,72,29,4.92,ID
238,Husavik,66.0449,-17.3389,light snow,27.23,77,100,2.53,IS
239,Raga,8.4596,25.678,scattered clouds,66.51,17,43,4.52,SS
240,Port Hardy,50.6996,-127.4199,overcast clouds,44.76,88,100,7.96,CA
241,Bengkulu,-3.8004,102.2655,heavy intensity rain,82.24,67,100,1.43,ID
242,Asau,46.4333,26.4,few clouds,40.28,93,11,7.45,RO
243,Chanthaburi,12.8333,102.1667,overcast clouds,78.49,63,100,1.34,TH
244,Karratha,-20.7377,116.8463,overcast clouds,94.48,41,89,8.3,AU
245,Catamarca,-28.4696,-65.7852,clear sky,77.65,65,0,0.81,AR
246,Olga,43.7444,135.2892,light snow,21.69,72,100,10.85,RU
247,Villa Carlos Paz,-31.4241,-64.4978,light rain,73.38,39,1,1.99,AR
248,Krasnoselkup,65.7,82.4667,overcast clouds,0.45,96,100,10.18,RU
249,Tsiroanomandidy,-18.7667,46.0333,clear sky,68.49,82,9,3.53,MG
250,Ulladulla,-35.35,150.4667,overcast clouds,92.77,58,100,8.81,AU
251,Alta Floresta,-9.8756,-56.0861,broken clouds,69.75,98,64,2.48,BR
252,Balabac,7.9868,117.0645,broken clouds,83.5,66,63,13.04,PH
253,Valentin Gomez Farias,28.2167,-106.5833,clear sky,46.29,37,0,35.16,MX
254,Georgetown,5.4112,100.3354,few clouds,84.88,76,20,1.14,MY
255,Olafsvik,64.8945,-23.7142,light snow,31.8,78,100,13.62,IS
256,Bandarbeyla,9.4942,50.8122,scattered clouds,73.62,63,39,12.88,SO
257,Chabahar,25.2919,60.643,scattered clouds,71.55,63,48,7.34,IR
258,Codrington,-38.2667,141.9667,overcast clouds,69.76,48,87,17.94,AU
259,Aksarka,66.5606,67.7975,light snow,9.45,96,100,8.93,RU
260,Kadoshkino,54.0257,44.4191,overcast clouds,26.08,94,100,13.18,RU
261,Catumbela,-12.4314,13.5472,overcast clouds,76.46,82,97,1.7,AO
262,Abu Kamal,34.4506,40.9171,overcast clouds,51.66,58,99,3.89,SY
263,Diapaga,12.0708,1.7889,clear sky,77.77,13,1,5.1,BF
264,Matay,28.419,30.7792,overcast clouds,53.46,69,100,10.2,EG
265,Andenes,69.3143,16.1194,overcast clouds,26.58,63,100,24.16,NO
266,Newport,51.5877,-2.9984,scattered clouds,50.45,79,45,1.99,GB
267,Verkhnevilyuysk,63.4453,120.3167,overcast clouds,-9.36,90,100,2.71,RU
268,Grootfontein,-19.5667,18.1167,broken clouds,67.57,54,60,5.73,NA
269,Sola,-13.8833,167.55,broken clouds,82.6,71,58,5.57,VU
270,Sorrento,40.626,14.3744,clear sky,48.65,84,1,3.0,IT
271,Khartoum,15.5518,32.5324,clear sky,65.01,19,3,1.01,SD
272,Trairi,-3.2778,-39.2689,overcast clouds,76.77,84,100,3.78,BR
273,Sumy,50.9216,34.8003,overcast clouds,34.16,98,100,12.73,UA
274,Bonavista,48.6499,-53.1147,broken clouds,14.11,62,73,15.75,CA
275,Taoudenni,22.6783,-3.9836,overcast clouds,60.8,12,95,16.11,ML
276,Hithadhoo,-0.6,73.0833,overcast clouds,82.54,74,99,15.5,MV
277,Sao Filipe,14.8961,-24.4956,overcast clouds,73.29,64,99,7.47,CV
278,Ilulissat,69.2167,-51.1,overcast clouds,-14.12,97,100,7.02,GL
279,Newnan,33.3807,-84.7997,scattered clouds,61.0,72,40,4.61,US
280,Am Timan,11.0297,20.2827,clear sky,72.52,18,1,6.8,TD
281,Mar Del Plata,-38.0023,-57.5575,scattered clouds,64.09,72,40,21.99,AR
282,Kaniama,-7.5667,24.1833,overcast clouds,64.98,97,100,0.72,CD
283,Onega,63.9061,38.1404,light snow,28.22,96,100,10.96,RU
284,Bouna,9.2667,-3.0,few clouds,73.6,18,11,2.53,CI
285,Pevek,69.7008,170.3133,overcast clouds,-28.82,99,97,5.53,RU
286,Barcelona,41.3888,2.159,clear sky,55.54,74,0,9.22,ES
287,Mehamn,71.0357,27.8492,overcast clouds,20.57,80,92,10.4,NO
288,Maningrida,-12.0667,134.2667,broken clouds,89.1,57,70,7.9,AU
289,Barcelos,41.5388,-8.6151,overcast clouds,54.28,98,99,3.53,PT
290,Pitiquito,30.7,-112.0833,clear sky,49.71,59,10,3.74,MX
291,Sortino,37.1566,15.026,clear sky,42.82,79,2,6.26,IT
292,Sao Sebastiao,-23.76,-45.4097,scattered clouds,72.12,91,45,4.09,BR
293,Sampit,-2.5333,112.95,scattered clouds,91.83,50,34,3.33,ID
294,Wilkie,52.4168,-108.7014,broken clouds,-10.1,82,54,4.5,CA
295,Larsnes,62.2028,5.5773,overcast clouds,36.01,91,100,5.12,NO
296,Havre-Saint-Pierre,50.2334,-63.5986,overcast clouds,19.76,86,100,14.97,CA
297,Zhob,31.3411,69.4481,clear sky,48.04,35,0,1.9,PK
298,Banjar,-8.19,114.9675,scattered clouds,87.66,70,25,4.97,ID
299,Lagoa,39.05,-27.9833,overcast clouds,61.74,77,95,27.38,PT
300,Petropavlovsk-Kamchatskiy,53.0452,158.6483,light snow,30.79,47,75,13.42,RU
301,Nikolayevsk-Na-Amure,53.1406,140.73,overcast clouds,12.92,89,100,6.13,RU
302,Mitu,1.1983,-70.1733,moderate rain,72.95,97,100,1.25,CO
303,Khuzdar,27.7384,66.6434,clear sky,53.19,27,0,4.79,PK
304,Gat,31.61,34.7642,overcast clouds,51.4,73,96,5.23,IL
305,Roma,43.2128,-75.4557,overcast clouds,48.06,64,100,5.99,US
306,West Bay,19.3667,-81.4167,scattered clouds,78.01,84,26,1.99,KY
307,Pomerode,-26.7406,-49.1769,overcast clouds,72.54,94,86,0.6,BR
308,Negotin,44.2264,22.5308,overcast clouds,43.03,81,89,2.46,RS
309,Naze,28.3667,129.4833,overcast clouds,51.44,70,100,11.41,JP
310,Agaro,7.85,36.65,broken clouds,65.66,53,83,1.77,ET
311,Pala,9.3642,14.9046,clear sky,73.9,17,1,7.65,TD
312,Kargasok,59.0556,80.8572,overcast clouds,1.22,93,100,10.22,RU
313,Darien,41.752,-87.974,heavy intensity rain,51.51,92,100,5.75,US
314,Pisco,-13.7,-76.2167,mist,68.05,83,90,9.22,PE
315,Esperance,-33.8667,121.9,broken clouds,70.65,65,51,12.37,AU
316,Sao Paulo De Olivenca,-3.3783,-68.8725,overcast clouds,73.54,99,100,1.86,BR
317,Laurel,39.0993,-76.8483,broken clouds,49.6,74,75,1.01,US
318,Fayaoue,-20.65,166.5333,light rain,82.15,79,67,9.75,NC
319,Xinmin,41.9908,122.8253,clear sky,17.85,47,1,3.33,CN
320,Leningradskiy,69.3833,178.4167,scattered clouds,-23.35,98,49,5.48,RU
321,Barbosa Ferraz,-24.03,-52.0117,few clouds,63.09,94,14,2.37,BR
322,Sosnovo-Ozerskoye,52.5249,111.5418,overcast clouds,-2.09,86,100,6.82,RU
323,Kuytun,54.3419,101.5036,overcast clouds,6.15,89,100,8.93,RU
324,Honiara,-9.4333,159.95,overcast clouds,84.18,75,100,3.85,SB
325,Talnakh,69.4865,88.3972,overcast clouds,-18.58,97,97,8.14,RU
326,Luderitz,-26.6481,15.1594,scattered clouds,71.29,70,26,15.9,NA
327,Bambous Virieux,-20.3428,57.7575,light rain,82.22,79,98,17.18,MU
328,Arica,-18.475,-70.3042,overcast clouds,70.18,78,100,0.18,CL
329,Tisul,55.7611,88.3122,broken clouds,4.53,79,54,9.37,RU
330,Atar,20.5169,-13.0499,overcast clouds,62.58,23,95,13.49,MR
331,Jalu,29.0331,21.5482,overcast clouds,56.3,81,100,10.89,LY
332,Bintulu,3.1667,113.0333,broken clouds,84.07,65,63,5.77,MY
333,Isangel,-19.55,169.2667,broken clouds,83.32,76,74,6.08,VU
334,Presidencia Roque Saenz Pena,-26.7852,-60.4388,light rain,81.46,33,5,6.35,AR
335,Eldorado,-23.7869,-54.2836,broken clouds,71.87,84,58,5.1,BR
336,Flinders,-34.5833,150.8552,overcast clouds,93.79,64,99,4.0,AU
337,Prince Rupert,54.3161,-130.3201,light rain,42.89,93,100,9.22,CA
338,Yumen,40.2833,97.2,overcast clouds,17.56,58,100,16.31,CN
339,Simpang,-1.2667,104.0833,overcast clouds,79.14,78,100,2.59,ID
340,Porto Novo,6.4965,2.6036,scattered clouds,78.1,90,49,4.97,BJ
341,Curvelo,-18.7564,-44.4308,light rain,69.03,91,19,2.93,BR
342,Port Keats,-14.25,129.55,broken clouds,91.96,54,53,4.36,AU
